ID,Country,Country Standard,CompTotal,Currency,Salary in Rupees,YearsCodePro,LanguageHaveWorkedWith,NoOfSkills,LanguageWantToWorkWith,DevType,DevTypeNorm,RemoteWork ,RemoteWorkNorm ,EdLevel,OrgSize,OrgSizeNorm,Age,AgeNorm,Employment,AISelect,AiSelectNorm
9409,United States of America,USA,86000,USD	United States dollar,7224000,3,Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby,4,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Ruby;TypeScript;Visual Basic (.Net),"Developer, front-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,25-34 years old,25,"Employed, full-time",No,0
9410,United States of America,USA,75000,USD	United States dollar,6300000,24,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;Ruby;SQL;Swift,9,Elixir,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,45-54 years old,45,"Employed, full-time",Yes,1
9411,China,China,204000,CNY	Chinese Yuan Renminbi,2676480,4,Python,1,JavaScript;Python,"Developer, QA or test",,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,750,35-44 years old,35,"Employed, full-time",Yes,1
9412,Canada,Canada,150000,CAD	Canadian dollar,9300000,4,Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,9,Bash/Shell (all shells);C#;C++;F#;HTML/CSS;JavaScript;PowerShell;Python;Rust;TypeScript,Research & Development role,,"Hybrid (some remote, some in-person)",1,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","10,000 or more employees",10000,25-34 years old,25,"Employed, full-time",No,0
9413,United States of America,USA,200000,USD	United States dollar,16800000,10,Bash/Shell (all shells);C;C#;Go;HTML/CSS;JavaScript;Kotlin;Lua;OCaml;Rust;SQL;TypeScript,12,Bash/Shell (all shells);C;C#;Elixir;Go;HTML/CSS;JavaScript;Kotlin;Lua;OCaml;PHP;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,25-34 years old,25,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes,1
9414,United States of America,USA,140000,USD	United States dollar,11760000,18,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;PHP;Python;Rust;SQL;TypeScript,10,Bash/Shell (all shells);Dart;Go;HTML/CSS;JavaScript;TypeScript,Engineering manager,,In-person,0,"Associate degree (A.A., A.S., etc.)",20 to 99 employees,60,35-44 years old,35,"Employed, full-time",Yes,1
9415,Canada,Canada,210000,CAD	Canadian dollar,13020000,8,C#;C++;Go;JavaScript;PowerShell;Rust,6,C#;Go;PowerShell;Rust,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,25-34 years old,25,"Employed, full-time",Yes,1
9416,Brazil,Brazil,60000,BRL	Brazilian real,900000,12,Go;HTML/CSS;Java;JavaScript;Solidity;SQL;TypeScript,7,Elixir;Rust,Cloud infrastructure engineer,,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,25-34 years old,25,"Employed, full-time",Yes,1
9417,United States of America,USA,117000,USD	United States dollar,9828000,10,JavaScript;PHP;Python;SQL;TypeScript,5,OCaml;PHP;Python;SQL;TypeScript,Engineering manager,,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,750,25-34 years old,25,"Employed, full-time",Yes,1
9418,Canada,Canada,125000,CAD	Canadian dollar,7750000,28,Bash/Shell (all shells);C;C#;Delphi;JavaScript;Lisp;MATLAB;PowerShell;Python;SQL;VBA;Visual Basic (.Net),12,Bash/Shell (all shells);C#;Python;SQL,"Developer, full-stack",,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,45-54 years old,45,"Employed, full-time",No,0
9419,United States of America,USA,112000,USD	United States dollar,9408000,8,C#;HTML/CSS;SQL;TypeScript;Visual Basic (.Net),5,C#;HTML/CSS;SQL;TypeScript,"Developer, full-stack",,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,750,35-44 years old,35,"Employed, full-time",No,0
9420,United States of America,USA,276000,USD	United States dollar,23184000,24,Bash/Shell (all shells);JavaScript;Python;R;TypeScript,5,Bash/Shell (all shells);Go;R;Rust;TypeScript,Other (please specify):,,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",2500,45-54 years old,45,"Employed, full-time",Yes,1
9421,United States of America,USA,130000,USD	United States dollar,10920000,20,Go;HTML/CSS;JavaScript,3,Go;HTML/CSS;JavaScript,"Developer, back-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,15,35-44 years old,35,"Employed, full-time",Yes,1
9422,United States of America,USA,270000,USD	United States dollar,22680000,17,JavaScript;SQL;TypeScript,3,JavaScript;SQL,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,15,35-44 years old,35,"Employed, full-time",Yes,1
9423,United States of America,USA,90000,USD	United States dollar,7560000,3,Go;JavaScript;Kotlin;PHP;Python;SQL;Swift;TypeScript;VBA,9,Rust,"Developer, full-stack",,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",Yes,1
9424,Canada,Canada,78000,CAD	Canadian dollar,4836000,6,HTML/CSS;JavaScript;TypeScript,3,HTML/CSS;JavaScript;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,Something else,20 to 99 employees,60,25-34 years old,25,"Employed, full-time",Yes,1
9425,United States of America,USA,250000,USD	United States dollar,21000000,5,Java;Kotlin;Python,3,Kotlin;Python;Rust;Swift,"Developer, mobile",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,750,25-34 years old,25,"Employed, full-time",Yes,1
9426,United States of America,USA,220000,USD	United States dollar,18480000,20,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;Python;Scala;SQL,8,Java;Kotlin;Python,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",Yes,1
9427,United States of America,USA,200000,USD	United States dollar,16800000,33,Bash/Shell (all shells);Java;JavaScript;PowerShell;Python;TypeScript,6,Bash/Shell (all shells);Clojure;Go;Java;JavaScript;Kotlin;Rust;Scala;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",2500,45-54 years old,45,"Employed, full-time",Yes,1
9428,Australia,Australia,128000,AUD	Australian dollar,7040000,16,Bash/Shell (all shells);JavaScript;Kotlin;Python;R;Rust;Swift;TypeScript,8,Dart;F#;Lua;R;Rust,Engineering manager,,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2 to 9 employees,5,35-44 years old,35,"Employed, full-time",Yes,1
9429,Australia,Australia,330000,AUD	Australian dollar,18150000,24,Bash/Shell (all shells);Go;JavaScript,3,Rust,"Developer, back-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,45-54 years old,45,"Employed, full-time",Yes,1
9430,United States of America,USA,180000,USD	United States dollar,15120000,27,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;TypeScript,6,Go;JavaScript;Rust;TypeScript,"Developer, back-end",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,55-64 years old,55,"Employed, full-time",No,0
9431,United States of America,USA,215000,USD	United States dollar,18060000,10,JavaScript;Ruby;TypeScript,3,JavaScript;Python;Ruby;TypeScript,"Developer, full-stack",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",No,0
9432,United States of America,USA,320000,USD	United States dollar,26880000,31,Bash/Shell (all shells);C;C#;HTML/CSS;Java;JavaScript;MATLAB;PowerShell;Python;SQL,10,Bash/Shell (all shells);C;C#;Go;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,Research & Development role,,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,750,55-64 years old,55,"Employed, full-time",Yes,1
9433,Australia,Australia,220000,AUD	Australian dollar,12100000,34,C#;Python;SQL;TypeScript,4,C#;Python,"Senior Executive (C-Suite, VP, etc.)",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,15,55-64 years old,55,"Employed, full-time",Yes,1
9434,Singapore,Singapore,97500,SGD	Singapore dollar,7002450,3,JavaScript;Python;SQL;TypeScript,4,JavaScript;Kotlin;SQL;TypeScript,"Developer, front-end",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,25-34 years old,25,"Employed, full-time",No,0
9435,Canada,Canada,175000,CAD	Canadian dollar,10850000,8,Bash/Shell (all shells);C#;C++;Java;Python,5,C#;C++;Python,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",10000,25-34 years old,25,"Employed, full-time",No,0
9436,United States of America,USA,187000,USD	United States dollar,15708000,9,Bash/Shell (all shells);Python;SQL,3,Bash/Shell (all shells);Python;SQL,DevOps specialist,,Remote,2,Some college/university study without earning a degree,100 to 499 employees,300,25-34 years old,25,"Employed, full-time",No,0
9437,United States of America,USA,225000,USD	United States dollar,18900000,9,Java;Kotlin,2,Kotlin,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,35-44 years old,35,"Employed, full-time",No,0
9438,United States of America,USA,140000,USD	United States dollar,11760000,8,Bash/Shell (all shells);PowerShell;Python,3,Bash/Shell (all shells);Python,Cloud infrastructure engineer,,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",Yes,1
9439,New Zealand,New Zealand,140000,NZD	New Zealand dollar,7677600,17,C;C#;C++;Java;Python,5,C#;Java;Python,"Developer, game or graphics",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,35-44 years old,35,"Employed, full-time",No,0
9440,Canada,Canada,251000,CAD	Canadian dollar,15562000,8,Bash/Shell (all shells);Clojure;Haskell;HTML/CSS;Java;JavaScript;Python;Rust;SQL;TypeScript,10,Bash/Shell (all shells);Clojure;Elixir;Go;Haskell;HTML/CSS;Python;Rust;SQL;TypeScript,"Developer, full-stack",,Remote,2,Some college/university study without earning a degree,2 to 9 employees,5,25-34 years old,25,"Employed, full-time",Yes,1
9441,United States of America,USA,350000,USD	United States dollar,29400000,5,Bash/Shell (all shells);JavaScript;Lisp;Python;Zig,5,Go;Haskell;Lisp;Python;Zig,"Developer, full-stack",,In-person,0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,750,25-34 years old,25,"Employed, full-time",No,0
9442,Sweden,Sweden,71280,EUR European Euro,6486480,12,C#;Go;Java;JavaScript;Kotlin;Python;Scala;SQL;Swift;TypeScript,10,C++;Go;Kotlin;Swift,"Developer, back-end",,Remote,2,Something else,100 to 499 employees,300,25-34 years old,25,"Employed, full-time",No,0
9443,United States of America,USA,125000,USD	United States dollar,10500000,7,C#;HTML/CSS;JavaScript;TypeScript,4,C#;HTML/CSS;JavaScript;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,750,25-34 years old,25,"Employed, full-time",No,0
9444,Mexico,Mexico,180000,MXN	Mexican peso,954000,12,C#;HTML/CSS;JavaScript;SQL;VBA;Visual Basic (.Net),6,Assembly;C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL;VBA;Visual Basic (.Net),"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,Some college/university study without earning a degree,2 to 9 employees,5,25-34 years old,25,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes,1
9445,Canada,Canada,132000,CAD	Canadian dollar,8184000,10,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,7,Bash/Shell (all shells);Elixir;HTML/CSS;JavaScript;Python;SQL,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",No,0
9446,United States of America,USA,219507,USD	United States dollar,18438588,7,Bash/Shell (all shells);C#;Java;Rust;Scala;SQL,6,Bash/Shell (all shells);Java;Rust,Cloud infrastructure engineer,,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,25-34 years old,25,"Employed, full-time",No,0
9447,United States of America,USA,165000,USD	United States dollar,13860000,25,HTML/CSS;JavaScript;TypeScript,3,HTML/CSS;JavaScript;TypeScript,"Developer, front-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,45-54 years old,45,"Employed, full-time",Yes,1
9448,United States of America,USA,230000,USD	United States dollar,19320000,8,Go,1,Elixir;Go;JavaScript;TypeScript,"Developer, back-end",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",2500,35-44 years old,35,"Employed, full-time",Yes,1
9449,Costa Rica,Costa Rica,90000,USD	United States dollar,7560000,20,HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,6,HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,5,45-54 years old,45,"Independent contractor, freelancer, or self-employed",No,0
9450,Brazil,Brazil,70000,BRL	Brazilian real,1050000,25,HTML/CSS;JavaScript;TypeScript,3,Go;HTML/CSS;JavaScript;TypeScript,"Developer, full-stack",,Remote,2,Some college/university study without earning a degree,10 to 19 employees,15,45-54 years old,45,"Independent contractor, freelancer, or self-employed",Yes,1
9451,Australia,Australia,180000,AUD	Australian dollar,9900000,10,Bash/Shell (all shells);C#;C++;Go;HTML/CSS;JavaScript;PHP;PowerShell;Rust;SQL;TypeScript,11,Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;PowerShell;Rust;SQL;TypeScript,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,15,25-34 years old,25,"Employed, full-time",Yes,1
9452,United States of America,USA,180000,USD	United States dollar,15120000,18,C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,8,C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,35-44 years old,35,"Employed, full-time",Yes,1
9453,New Zealand,New Zealand,80000,NZD	New Zealand dollar,4387200,6,Apex;C#;JavaScript;PHP;SQL;TypeScript,6,C#;Rust;TypeScript,"Developer, full-stack",,Remote,2,"Associate degree (A.A., A.S., etc.)",2 to 9 employees,5,25-34 years old,25,"Employed, full-time",Yes,1
9454,United States of America,USA,270000,USD	United States dollar,22680000,5,Bash/Shell (all shells);Go;JavaScript;Lua;Python;TypeScript,6,Go;Lua;Python,"Developer, back-end",,Remote,2,Some college/university study without earning a degree,100 to 499 employees,300,35-44 years old,35,"Employed, full-time",Yes,1
9455,United States of America,USA,157000,USD	United States dollar,13188000,15,C#;HTML/CSS;Java;JavaScript;PowerShell;Python;Ruby;SQL;TypeScript,9,Dart;Go;Python,DevOps specialist,,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,35-44 years old,35,"Employed, full-time",No,0
9456,Canada,Canada,240000,CAD	Canadian dollar,14880000,15,Bash/Shell (all shells);Go;HTML/CSS;Python;Ruby;TypeScript,6,Bash/Shell (all shells);Go;HTML/CSS;Ruby;Rust;TypeScript,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,35-44 years old,35,"Employed, full-time",Yes,1
9457,Canada,Canada,260000,CAD	Canadian dollar,16120000,21,C#;C++;PowerShell;Python,4,C#;C++;PowerShell;Python,"Developer, desktop or enterprise applications",,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","5,000 to 9,999 employees",7500,35-44 years old,35,"Employed, full-time",Yes,1
9458,Brazil,Brazil,156000,BRL	Brazilian real,2340000,8,HTML/CSS;JavaScript;Python;SQL;TypeScript,5,HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,"Developer, front-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,25-34 years old,25,"Employed, full-time",Yes,1
9459,United States of America,USA,165000,USD	United States dollar,13860000,24,Bash/Shell (all shells);HTML/CSS;Lua;Python;SQL,5,Bash/Shell (all shells);Go;Lua;MicroPython;Python;Rust;SQL,"Developer, back-end",,Remote,2,Some college/university study without earning a degree,"1,000 to 4,999 employees",2500,45-54 years old,45,"Employed, full-time",Yes,1
9460,United States of America,USA,200000,USD	United States dollar,16800000,20,Go;Java,2,Go;Java,"Developer, back-end",,In-person,0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",Yes,1
9461,United States of America,USA,108000,USD	United States dollar,9072000,7,Bash/Shell (all shells);C++;Python,3,C++;Python,Research & Development role,,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",2500,25-34 years old,25,"Employed, full-time",No,0
9462,Australia,Australia,136500,AUD	Australian dollar,7507500,5,Bash/Shell (all shells);Java;JavaScript;PowerShell;TypeScript,5,Java;JavaScript;TypeScript,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,25-34 years old,25,"Employed, full-time",Yes,1
9463,United States of America,USA,190000,USD	United States dollar,15960000,18,HTML/CSS;PowerShell;TypeScript,3,C#;Go;HTML/CSS;Kotlin;Python;Rust;TypeScript,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,35-44 years old,35,"Employed, full-time",No,0
9464,United States of America,USA,280000,USD	United States dollar,23520000,26,Bash/Shell (all shells);Go;JavaScript;SQL,4,JavaScript;Python;Rust,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,45-54 years old,45,"Employed, full-time",No,0
9465,United States of America,USA,166000,USD	United States dollar,13944000,20,C#;Delphi;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,8,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",Yes,1
